"","Generation","Replicant","mean","stddev"
"1","A",1,334.6536067125,21.2844531590346
"2","A",2,314.501862175,17.0617855894542
"3","A",3,319.0458600625,9.88901698069041
"4","A",4,302.018622175,6.16663983896151
"5","A",5,330.1507023625,4.95653642685724
"6","B",1,310.91164675,16.4840148779042
"7","B",2,308.019373875,7.08999651972311
"8","B",3,304.777635775,8.31368733936897
"9","B",4,288.5309875625,7.48162766345103
"10","B",5,319.3496942375,13.0869089763018
"11","C",1,226.2978140475,126.942841755997
"12","C",2,208.16489544375,127.145744240674
"13","C",3,194.826762055,125.85894206545
"14","C",4,186.79758381125,122.187576527944
"15","C",5,209.4459797925,136.955014862451
"16","D",1,213.77201087625,152.120888485113
"17","D",2,198.002286415,130.76271281665
"18","D",3,187.504290514375,139.034430992687
"19","D",4,172.5873276025,131.147254067492
"20","D",5,195.775713852125,149.221589339805
